gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
0021700558,1610612748,Miami,Heat,MIA,heat,202355,Hassan,Whiteside,H. Whiteside,hassan-whiteside,C,,21,17:04,4.08,1.16,1,7,8,20,0,0,10,2,3,3,1.0,2,5,0.4,0.625,1,2,0.5
0021700558,1610612748,Miami,Heat,MIA,heat,204020,Tyler,Johnson,T. Johnson,tyler-johnson,G,,8,33:02,4.63,2.54,0,6,6,40,2,0,33,3,1,1,1.0,0,4,0.0,0.2,2,2,1.0
0021700558,1610612748,Miami,Heat,MIA,heat,201609,Goran,Dragic,G. Dragic,goran-dragic,G,,7,36:41,4.39,2.68,3,7,10,100,1,0,68,13,3,8,0.375,6,11,0.545,0.473,1,2,0.5
0021700558,1610612748,Miami,Heat,MIA,heat,201961,Wayne,Ellington,W. Ellington,wayne-ellington,,,2,34:23,4.34,2.48,0,9,9,41,0,0,27,1,1,3,0.333,3,9,0.333,0.333,1,1,1.0
0021700558,1610612748,Miami,Heat,MIA,heat,201949,James,Johnson,J. Johnson,james-johnson,,,16,23:43,4.4,1.73,3,5,8,42,0,0,32,1,3,4,0.75,3,4,0.75,0.75,1,1,1.0
0021700558,1610612748,Miami,Heat,MIA,heat,1628476,Derrick,Walton Jr.,D. Walton Jr.,derrick-walton-jr,,,14,5:30,4.87,0.45,0,2,2,9,0,0,9,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1628389,Bam,Adebayo,B. Adebayo,bam-adebayo,,,13,10:14,4.21,0.72,1,3,4,14,0,0,9,1,0,2,0.0,0,2,0.0,0.0,0,2,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1626175,Jordan,Mickey,J. Mickey,jordan-mickey,,,25,5:45,4.15,0.4,0,0,0,8,0,0,7,0,0,0,0.0,0,1,0.0,0.0,1,1,1.0
0021700558,1610612748,Miami,Heat,MIA,heat,2617,Udonis,Haslem,U. Haslem,udonis-haslem,,DNP - Coach's Decision,40,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1627884,Derrick,Jones Jr.,D. Jones Jr.,derrick-jones-jr,,DNP - Coach's Decision,5,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1626159,Justise,Winslow,J. Winslow,justise-winslow,,DNP - Injury/Illness,20,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
