SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22014,203894,Shabazz Napier,1610612748,MIA,Miami Heat,Spotup,Offensive,0.775,51,0.248,1.072,0.405,0.036,0.072,0.024,0.0,0.398,0.574,1.6,1.7,0.6,1.5,0.9
22014,201167,Arron Afflalo,1610612757,POR,Portland Trail Blazers,Spotup,Offensive,0.753,25,0.295,1.06,0.4,0.036,0.06,0.036,0.0,0.398,0.547,3.3,3.5,1.2,3.0,1.8
22014,2746,Josh Smith,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.142,28,0.246,0.693,0.336,0.055,0.039,0.047,0.008,0.339,0.362,4.5,3.1,1.4,4.1,2.8
22014,201977,Marcus Thornton,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.974,39,0.192,1.318,0.484,0.03,0.03,0.03,0.0,0.485,0.669,1.7,2.2,0.8,1.6,0.8
22014,203112,Quincy Acy,1610612752,NYK,New York Knicks,Spotup,Offensive,0.433,68,0.224,0.897,0.411,0.021,0.062,0.021,0.01,0.392,0.467,1.4,1.3,0.5,1.3,0.8
22014,201156,Nick Young,1610612747,LAL,Los Angeles Lakers,Spotup,Offensive,0.674,43,0.147,1.024,0.366,0.071,0.083,0.071,0.0,0.369,0.535,2.0,2.0,0.6,1.7,1.0
22014,201152,Thaddeus Young,1610612750,MIN,Minnesota Timberwolves,Spotup,Offensive,0.201,48,0.148,0.748,0.356,0.035,0.087,0.026,0.0,0.33,0.411,2.4,1.8,0.8,2.1,1.4
22014,202683,Enes Freedom,1610612762,UTA,Utah Jazz,Spotup,Offensive,0.144,50,0.17,0.694,0.312,0.032,0.089,0.032,0.0,0.306,0.367,2.5,1.7,0.7,2.2,1.5
22014,201950,Jrue Holiday,1610612740,NOP,New Orleans Pelicans,Spotup,Offensive,0.445,40,0.142,0.904,0.36,0.043,0.043,0.043,0.0,0.372,0.459,2.4,2.1,0.8,2.1,1.4
22014,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,Spotup,Offensive,0.445,71,0.077,0.904,0.453,0.096,0.106,0.085,0.0,0.457,0.48,1.3,1.2,0.5,1.1,0.6
22014,203100,Tony Wroten,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.414,31,0.153,0.885,0.313,0.146,0.042,0.146,0.052,0.354,0.41,3.1,2.7,0.8,2.7,1.8
22014,202066,Garrett Temple,1610612764,WAS,Washington Wizards,Spotup,Offensive,0.807,52,0.338,1.091,0.389,0.039,0.026,0.039,0.0,0.403,0.542,1.5,1.6,0.5,1.4,0.8
22014,201145,Jeff Green,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.205,33,0.19,0.75,0.279,0.036,0.036,0.036,0.0,0.295,0.365,3.4,2.5,0.9,3.2,2.3
